AbandonodepersonaArt106párr1ro;Abandono de persona - Art.106 párr. 1ro
Homicidiodeunamujercometidoporunhombremediandoviolenciadegénero(Femicidio)Art80Inc11°;Homicidio de una mujer cometido por un hombre mediando violencia de género (Femicidio) - Art.80 Inc.11°
HomicidioenestadodeemociónviolentaArt81Inc1a);Homicidio en estado de emoción violenta - Art.81 Inc.1 a)
HomicidioenocasiónderoboArt165;Homicidio en ocasión de robo - Art.165
HomicidioenriñaArt95;Homicidio en riña - Art.95
HomicidiopreterintencionalArt81Inc1B);Homicidio preterintencional - Art.81 Inc.1 B)
HurtoArt162;Hurto - Art.162
Hurtoagravado(calamitoso)Art163Inc2º;Hurto agravado (calamitoso) - Art.163 Inc.2º
Hurtoagravado(campestre)Art163Inc1º;Hurto agravado (campestre) - Art.163 Inc.1º
Hurtoagravado(conescalamiento)Art163Inc4º;Hurto agravado (con escalamiento) - Art.163 Inc.4º
Hurtoagravado(conganzúa,llavefalsa,uotroinstrumento)Art163Inc3º;Hurto agravado (con ganzúa, llave falsa, u otro instrumento) - Art.163 Inc.3º
Hurtoagravado(mercaderíaentránsito)Art163Inc5º;Hurto agravado (mercadería en tránsito) - Art.163 Inc.5º
Hurtoagravado(vehículodejadoenlavíapública)Art163Inc6º;Hurto agravado (vehículo dejado en la vía pública) - Art.163 Inc.6º
HurtoagravadoporlacalidaddeautorArt163bis;Hurto agravado por la calidad de autor - Art.163 bis
ImpedimentooestorboalacirculacióndepublicacionesArt161;Impedimento o estorbo a la circulación de publicaciones - Art.161
ImpedimentooturbacióndereuniónlícitaArt160;Impedimento o turbación de reunión lícita - Art.160
IncendioodestruccióndebienesruralesArt186Inc2º;Incendio o destrucción de bienes rurales - Art.186 Inc.2º
IncendiooestragoculposoArt189;Incendio o estrago culposo - Art.189
IncendiooestragoculposoagravadoArt189infine;Incendio o estrago culposo agravado - Art.189 in fine
Incendio,explosiónoinundaciónconpeligrocomúnparalosbienesArt186Inc1º;Incendio, explosión o inundación con peligro común para los bienes - Art.186 Inc.1º
Incendio,explosiónoinundaciónconpeligrodemuerteArt186Inc4º;Incendio, explosión o inundación con peligro de muerte - Art.186 Inc.4º
Incendio,explosiónoinundaciónconpeligroparabienesdeterminadosArt186Inc3º;Incendio, explosión o inundación con peligro para bienes determinados - Art.186 Inc.3º
Incendio,explosiónoinundaciónseguidodemuerteArt186Inc5º;Incendio, explosión o inundación seguido de muerte - Art.186 Inc.5º
IncitaciónalaviolenciacolectivaArt212;Incitación a la violencia colectiva - Art.212
IncumplimientodelosdeberesdefuncionariopúblicoArt248infine;Incumplimiento de los deberes de funcionario público - Art.248 in fine
Inducciónalafugadeunmenor,mayordediezymenordequinceañosArt148;Inducción a la fuga de un menor, mayor de diez y menor de quince años - Art.148
InfracciónLeynº13944(IncumplimientodeberesdeAsistenciaFamiliar);Infracción Ley nº 13.944 (Incumplimiento deberes de Asistencia Familiar)
InfracciónLeynº14346(Malostratosyactosdecrueldadalosanimales);Infracción Ley nº 14.346 (Malos tratos y actos de crueldad a los animales)
InfracciónLeynº22421(ConservacióndelaFauna);Infracción Ley nº 22.421 (Conservación de la Fauna)
InfracciónLeynº23592(PenalizacióndeActosDiscriminatorios);Infracción Ley nº 23.592 (Penalización de Actos Discriminatorios)
InfracciónLeynº24051(LeydeResiduosPeligrosos);Infracción Ley nº 24.051 (Ley de Residuos Peligrosos)
InfracciónLeynº24192(ViolenciaenEspectáculosDeportivos);Infracción Ley nº 24.192 (Violencia en Espectáculos Deportivos)
InfracciónLeynº25156(DefensadelConsumidor);Infracción Ley nº 25.156 (Defensa del Consumidor)
InfracciónLeynº24270(ImpedimentodeContacto);Infracción Ley nº 24.270 (Impedimento de Contacto)
InfracciónLeynº25761(DesarmadodeAutomotores);Infracción Ley nº 25.761 (Desarmado de Automotores)
InjuriasArt110;Injurias - Art.110
InstigaciónpúblicaacometerdelitosdeterminadosArt209;Instigación pública a cometer delitos determinados - Art.209
InstigaciónyayudaalsuicidioArt83;Instigación y ayuda al suicidio - Art.83
InterrupciónoentorpecimientodecomunicacionestelegráficasotelefónicasArt197;Interrupción o entorpecimiento de comunicaciones telegráficas o telefónicas - Art.197
IntimidaciónpúblicaArt211;Intimidación pública - Art.211
IntimidaciónpúblicaagravadaArt211infine;Intimidación pública agravada - Art.211 in fine
JuegoClandestinoArt301bis;Juego Clandestino - Art. 301 bis
Lesionesagravadasartículo89Art92;Lesiones agravadas artículo 89 - Art.92
Lesionesagravadasartículo90Art92;Lesiones agravadas artículo 90 - Art.92
Lesionesagravadasartículo91Art92;Lesiones agravadas artículo 91 - Art.92
LesionesculposasArt94;Lesiones culposas - Art.94
LesionesculposasagravadasporpluralidaddevíctimasArt94infine;Lesiones culposas agravadas por pluralidad de víctimas - Art.94 in fine
LesionesculposasconduccióndevehículoautomotoragravadasporconsumodeestupefacientesoalcoholArt94bispárr2do;Lesiones culposas - conducción de vehículo automotor agravadas por consumo de estupefacientes o alcohol - Art 94 bis párr. 2do
LesionesculposasconduccióndevehículoautomotoragravadasporculpatemerariaArt94bispárr2do;Lesiones culposas - conducción de vehículo automotor agravadas por culpa temeraria - Art 94 bis párr. 2do
LesionesculposasconduccióndevehículoautomotoragravadasporexcesodevelocidadArt94bispárr2do;Lesiones culposas - conducción de vehículo automotor agravadas por exceso de velocidad - Art 94 bis párr. 2do
LesionesculposasconduccióndevehículoautomotoragravadasporlafugaoausenciadesocorroalavíctimaArt94bispárr2do;Lesiones culposas - conducción de vehículo automotor agravadas por la fuga o ausencia de socorro a la víctima - Art 94 bis párr. 2do
LesionesculposasconduccióndevehículoautomotoragravadasporlapluralidaddevíctimasfatalesArt94bispárr2do;Lesiones culposas - conducción de vehículo automotor agravadas por la pluralidad de víctimas fatales - Art 94 bis párr. 2do
LesionesculposasconduccióndevehículoautomotoragravadasporlaviolacióndesemáforoodelasseñalestránsitoArt94bispárr2do;Lesiones culposas - conducción de vehículo automotor agravadas por la violación de semáforo o de las señales tránsito - Art 94 bis párr. 2do
LesionesculposasconduccióndevehículoautomotoragravadaspornocontarconlahabilitacióndelaautoridadcompetenteArt94bispárr2do;Lesiones culposas - conducción de vehículo automotor agravadas por no contar con la habilitación de la autoridad competente - Art 94 bis párr. 2do
LesionesculposasconduccióndevehículoautomotorArt94bis;Lesiones culposas - conducción de vehículo automotor-Art 94 bis
LesionesculposasagravadasArt94;Lesiones culposas agravadas - Art.94
Lesionesenestadodeemociónviolentaartículo89Art93;Lesiones en estado de emoción violenta artículo 89 - Art.93
LesionesculposasagravadasporconduccióndevehículoautomotorArt94infine;Lesiones culposas agravadas por conducción de vehículo automotor - Art.94 in fine
LesionesgravesArt90;Lesiones graves - Art.90
LesionesgravesogravísimasenriñaArt95;Lesiones graves o gravísimas en riña - Art.95
LesionesgravísimasArt91;Lesiones gravísimas - Art.91
LesioneslevesArt89;Lesiones leves - Art.89
LesioneslevesenriñaArt96;Lesiones leves en riña - Art.96
LibramientodechequeconimposibilidadlegaldepagoArt302Inc2º;Libramiento de cheque con imposibilidad legal de pago - Art.302 Inc.2º
MalversacióndecaudalespúblicosArt260;Malversación de caudales públicos - Art.260
MalversacióndecaudalespúblicosculposaArt262;Malversación de caudales públicos culposa - Art.262
NegativaaentregarbienesArt264infine;Negativa a entregar bienes - Art.264 in fine
OrganizaciónopromocióndepruebasilegalesdevelocidadconvehículoautomotorArt193bisinfine;Organización o promoción de pruebas ilegales de velocidad con vehículo automotor - Art.193 bis in fine
PeculadodecaudalesoefectosArt261;Peculado de caudales o efectos - Art.261
PortaciónilegaldearmadefuegodeusocivilArt189bisInc2ºpárr3ro;Portación ilegal de arma de fuego de uso civil - Art.189 bis Inc.2º párr. 3ro
PortacionilegaldearmadeguerraArt189bisInc2ºpárr4to;Portacion ilegal de arma de guerra - Art.189 bis Inc.2º párr. 4to
PrivaciónabusivadelalibertadArt144bisInc1º;Privación abusiva de la libertad - Art.144 bis Inc.1º
Privaciónabusivadelalibertad,vejaciones,severidades,apremiosilegalesagravadosArt144bisinfine;Privación abusiva de la libertad, vejaciones, severidades, apremios ilegales agravados - Art.144 bis in fine
PrivaciónilegaldelalibertadArt141;Privación ilegal de la libertad - Art.141
PrivaciónilegaldelalibertadagravadaArt142Inc1º;Privación ilegal de la libertad agravada - Art.142 Inc.1º
PrivaciónilegaldelalibertadagravadaArt142Inc2º;Privación ilegal de la libertad agravada - Art.142 Inc.2º
PrivaciónilegaldelalibertadagravadaArt142Inc5º;Privación ilegal de la libertad agravada - Art.142 Inc.5º
Producción,comercialización,etcderepresentacióndemenoresde18añosdedicadosaactividadessexualesArt128párr1ro;Producción, comercialización, etc. de representación de menores de 18 años dedicados a actividades sexuales - Art.128 párr. 1ro
PromociónofacilitacióndelaprostitucióndemayoresArt125bis;Promoción o facilitación de la prostitución de mayores - Art.125 bis
PromociónofacilitacióndelaprostitucióndemayoresAgravadaArt126;Promoción o facilitación de la prostitución de mayores Agravada - Art.126
Promociónofacilitacióndelaprostitucióndemenoresde18añosArt126infine;Promoción o facilitación de la prostitución de menores de 18 años - Art.126 in fine
PropagacióndeunaenfermedadpeligrosaycontagiosaArt202;Propagación de una enfermedad peligrosa y contagiosa - Art.202
PropagacióndeunaenfermedadpeligrosaycontagiosaculposoArt203;Propagación de una enfermedad peligrosa y contagiosa culposo - Art.203
PropagacióndeunaenfermedadpeligrosaycontragiosaculposoArt203;Propagación de una enfermedad peligrosa y contagiosa culposo - Art.203
ProvocacióndehostilidadesodeenemistadinternacionalArt219;Provocación de hostilidades o de enemistad internacional - Art.219
PruebailegaldevelocidadconunvehículoautomotorArt193bis;Prueba ilegal de velocidad con un vehículo automotor - Art.193 bis
PublicaciónoreproduccióndecalumniasoinjuriasArt113;Publicación o reproducción de calumnias o injurias - Art.113
QuebrantamientodepenadeinhabilitaciónArt281bis;Quebrantamiento de pena de inhabilitación - Art.281 bis
RaptoArt130párr1ro;Rapto - Art.130 párr. 1ro
Reducciónaesclavitudoservidumbre,trabajosforzadosocontraermatrimonioservilArt140;Reducción a esclavitud o servidumbre, trabajos forzados o contraer matrimonio servil - Art.140
ResistenciaalaautoridadArt239;Resistencia a la autoridad - Art.239
RoboArt164;Robo - Art.164
RoboAgravado(calamitoso)enrelaciónalart163inc2Art167Inc4º;Robo Agravado (calamitoso) - en relación al art. 163 inc. 2 - Art.167 Inc.4º
RoboAgravado(campestre)enrelaciónalart163inc1Art167Inc4º;Robo Agravado (campestre) - en relación al art. 163 inc.1 - Art.167 Inc.4º
Roboagravado(comisiónconefracción)Art167Inc3º;Robo agravado (comisión con efracción) - Art.167 Inc.3º
Roboagravado(comisiónendespobladoyenbanda)Art166Inc2ºinfine;Robo agravado (comisión en despoblado y en banda) - Art.166 Inc.2º in fine
Roboagravado(comisiónendespoblado)Art167Inc1º;Robo agravado (comisión en despoblado) - Art.167 Inc.1º
Roboagravado(comisiónenpobladoyenbanda)Art167Inc2º;Robo agravado (comisión en poblado y en banda) - Art.167 Inc.2º
RoboAgravado(conescalamiento)enrelaciónalart163inc4Art167Inc4º;Robo Agravado (con escalamiento) - en relación al art. 163 inc.4 - - Art.167 Inc.4º
RoboAgravado(conganzúa,llavefalsa,uotroinstrumento)enrelaciónalart163inc3Art167Inc4º;Robo Agravado (con ganzúa, llave falsa, u otro instrumento) - en relación al art. 163 inc.3 - Art.167 Inc.4º
Roboagravado(integrantedelasfuerzasdeseguridad,policialesodelServPeniten)Art167bis;Robo agravado (integrante de las fuerzas de seguridad, policiales o del Serv Peniten) - Art.167 bis
Roboagravado(lesiones)Art166Inc1º;Robo agravado (lesiones) - Art.166 Inc.1º
RoboAgravado(mercaderíaentránsito)enrelaciónalart163inc5Art167Inc4º;Robo Agravado (mercadería en tránsito) - en relación al art. 163 inc. 5 - Art.167 Inc.4º
Roboagravado(usodearmadefuegonoaptaparaeldisparo)Art166Inc2ºpárr3ro;Robo agravado (uso de arma de fuego no apta para el disparo) - Art.166 Inc.2º párr. 3ro
Roboagravado(usodearmadeutilería)Art166Inc2ºpárr3ro;Robo agravado (uso de arma de utilería) - Art.166 Inc.2º párr. 3ro
Roboagravado(usodearmasdefuego)Art166Inc2ºpárr2do;Robo agravado (uso de armas de fuego) - Art.166 Inc.2º párr. 2do
Roboagravado(usodearmas)Art166Inc2ºpárr1ro;Robo agravado (uso de armas) - Art.166 Inc.2º párr. 1ro
RoboAgravado(vehículodejadoenlavíapública)enrelaciónalart163inc6Art167Inc4º;Robo Agravado (vehículo dejado en la vía pública) - en relación al art. 163 inc. 6 - Art.167 Inc.4º
SecuestroextorsivoArt170;Secuestro extorsivo - Art.170
SecuestroextorsivoagravadoArt170Inc1º;Secuestro extorsivo agravado - Art.170 Inc.1º
Severidadesvejacionesy/oapremiosilegalesapresosArt144bisInc3º;Severidades vejaciones y/o apremios ilegales a presos - Art.144 bis Inc.3º
Suicidio;Suicidio
SuministroinfieldemedicamentosArt204;Suministro infiel de medicamentos - Art.204
SupresiónodestruccióndedocumentosArt294;Supresión o destrucción de documentos - Art.294
SupresiónysuposicióndelestadocivilydelaidentidadagravadoArt139bis;Supresión y suposición del estado civil y de la identidad agravado - Art.139 bis
Sustracción,retenciónuocultamientodemenordediezañosArt146;Sustracción, retención u ocultamiento de menor de diez años - Art.146
Sustracción,retenciónuocultamientodepersonaArt142bis;Sustracción, retención u ocultamiento de persona - Art.142 bis
Tenenciaderepresentacionessexualesdemenoresde18añosconfinesdedistribuciónocomercializaciónArt128párr2do;Tenencia de representaciones sexuales de menores de 18 años con fines de distribución o comercialización - Art.128 párr. 2do
TenenciailegaldearmadefuegodeusocivilArt189bisInc2ºpárr1ro;Tenencia ilegal de arma de fuego de uso civil - Art.189 bis Inc.2º párr. 1ro
TenenciailegaldearmadeguerraArt189bisInc2ºpárr2do;Tenencia ilegal de arma de guerra - Art.189 bis Inc.2º párr. 2do
TrabajoinfantilArt148bis;Trabajo infantil - Art.148 bis
TratadePersonasmenoresde18añosArt145terinfine;Trata de Personas menores de 18 años - Art.145 ter in fine
TratadePesonasMayoresArt145bis;Trata de Pesonas Mayores - Art.145 bis
TratadePersonasmayoresAgravadaporlaconsumacióndelaexplotaciónArt145terpárr2do;Trata de Personas mayores Agravada por la consumación de la explotación - Art.145 ter párr. 2do
TurbacióndeunactolegítimodeautoridadArt241;Turbación de un acto legítimo de autoridad - Art.241
TurbaciónenlaposesiónotenenciadeuninmuebleArt181Inc3º;Turbación en la posesión o tenencia de un inmueble - Art.181 Inc.3º
UsodedocumentoocertificadofalsooadulteradoArt296;Uso de documento o certificado falso o adulterado - Art.296
UsuraArt175bispárr1ro;Usura - Art.175 bis párr. 1ro
UsuraagravadaporlacalidaddelautorArt175bispárr3ro;Usura agravada por la calidad del autor - Art.175 bis párr. 3ro
UsurpacióndeautoridadArt246;Usurpación de autoridad - Art.246
UsurpacióndeinmuebleArt181Inc1º;Usurpación de inmueble - Art.181 Inc.1º
UsurpacióntítulosuhonoresArt247;Usurpación títulos u honores - Art.247
UtilizaciónconfinesdelucrodeinformacionesodatosreservadosArt2681;Utilización con fines de lucro de informaciones o datos reservados - Art.268 1
Vejacionesy/oapremiosilegalesenactodeservicioArt144bisInc2º;Vejaciones y/o apremios ilegales en acto de servicio - Art.144 bis Inc.2º
VentademedicamentossinautorizaciónArt204quinquies;Venta de medicamentos sin autorización - Art.204 quinquies
ViolacióndecorrespondenciaArt153;Violación de correspondencia - Art.153
ViolacióndedomicilioArt150;Violación de domicilio - Art.150
ViolacióndeelementosprobatoriosArt255;Violación de elementos probatorios - Art.255
ViolacióndeinmunidadesArt221;Violación de inmunidades - Art.221
ViolacióndeleyesdepolicíasanitariaanimalArt206;Violación de leyes de policía sanitaria animal - Art.206
ViolacióndemedidascontraepidemiasArt205;Violación de medidas contra epidemias - Art.205
ViolacióndesecretoArt156;Violación de secreto - Art.156
ViolacióndesellosydocumentosArt254;Violación de sellos y documentos - Art.254
